user_id,anomaly_count,anomaly_rate,max_anomaly_score,avg_anomaly_score,recent_anomaly_trend,anomalous_dates,method_used
U0001,11,0.20754716981132076,2.8913823239273055,1.2447481996746617,0.6125026584374462,"[Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-13 00:00:00'), Timestamp('2025-06-15 00:00:00'), Timestamp('2025-06-16 00:00:00')]",statistical
U0002,1,0.018867924528301886,2.621801509717422,1.5056467415502162,0.9564542094720757,[Timestamp('2025-06-13 00:00:00')],statistical
U0003,8,0.1509433962264151,3.630133764540831,1.1787125124107485,0.5245214481704582,"[Timestamp('2025-06-01 00:00:00'), Timestamp('2025-06-02 00:00:00'), Timestamp('2025-06-03 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00')]",statistical
U0004,4,0.07547169811320754,7.211102550927981,1.0844767439963552,0.4822428221704121,"[Timestamp('2025-06-01 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00')]",statistical
U0005,3,0.05660377358490566,2.676257447108806,1.1793684523870032,0.5758978133812339,"[Timestamp('2025-06-11 00:00:00'), Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-13 00:00:00')]",statistical
U0006,3,0.05660377358490566,3.1510592840856537,1.3225936405712146,0.630528288755463,"[Timestamp('2025-06-14 00:00:00'), Timestamp('2025-06-15 00:00:00'), Timestamp('2025-06-16 00:00:00')]",statistical
U0007,3,0.05660377358490566,2.9102372950637423,0.9750179830646168,0.5173755191224431,"[Timestamp('2025-06-13 00:00:00'), Timestamp('2025-06-14 00:00:00'), Timestamp('2025-06-21 00:00:00')]",statistical
U0008,2,0.03773584905660377,2.8163054525958438,1.4661011385782903,0.5672760277973996,"[Timestamp('2025-06-09 00:00:00'), Timestamp('2025-06-10 00:00:00')]",statistical
U0009,6,0.11320754716981132,2.544001969874881,1.4467721722051463,1.0586781136207095,"[Timestamp('2025-06-04 00:00:00'), Timestamp('2025-06-05 00:00:00'), Timestamp('2025-06-06 00:00:00'), Timestamp('2025-06-07 00:00:00'), Timestamp('2025-06-08 00:00:00'), Timestamp('2025-06-09 00:00:00')]",statistical
U0010,8,0.1509433962264151,2.8235511231217134,1.411126925617168,0.6824905158471084,"[Timestamp('2025-06-12 00:00:00'), Timestamp('2025-06-13 00:00:00'), Timestamp('2025-06-14 00:00:00'), Timestamp('2025-06-15 00:00:00'), Timestamp('2025-06-25 00:00:00'), Timestamp('2025-06-26 00:00:00'), Timestamp('2025-06-27 00:00:00'), Timestamp('2025-06-28 00:00:00')]",statistical
