user_id,edit_count,edit_span_days,edit_avg_gap_hours,edit_std_gap_hours,edit_min_gap_hours,edit_max_gap_hours,edit_gap_coefficient_variation,edit_avg_hour,edit_hour_std,edit_weekend_ratio,edit_business_hours_ratio,edit_recent_activity_ratio,edit_acceleration,edit_periodicity_score,edit_outlier_ratio,edit_burst_score,edit_entropy,meeting_count,meeting_span_days,meeting_avg_gap_hours,meeting_std_gap_hours,meeting_min_gap_hours,meeting_max_gap_hours,meeting_gap_coefficient_variation,meeting_avg_hour,meeting_hour_std,meeting_weekend_ratio,meeting_business_hours_ratio,meeting_recent_activity_ratio,meeting_acceleration,meeting_periodicity_score,meeting_outlier_ratio,meeting_burst_score,meeting_entropy,void_total_days,void_max_duration,void_frequency,void_coverage_ratio,void_pattern_score,edit_to_meeting_ratio,meeting_to_edit_ratio,activity_synchronization,void_activity_impact,activity_void_resistance,temporal_consistency,behavioral_diversity,engagement_consistency,activity_intensity,temporal_adaptability,disengagement_risk_composite
U0001,3,5,60.0,12.0,48.0,72.0,0.19999999666666674,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,1.0,5,20,120.0,88.18163074019441,48.0,264.0,0.7348469167112291,0.0,0.0,0.2,0.0,0.0,24.0,0,0.0,-0.1528394659349851,1.5,51,51,1,0.85,1.0,0.5,1.25,0.05405405405405406,6.8,4.324324324324324,1.0,1.25,0.7048765353251537,0.13333333333333333,0.8666666666666667,0.74
U0002,10,8,21.333333333333332,23.85139175999776,0.0,72.0,1.1180339363420542,0.0,0.0,0.2,0.0,0.0,0.0,0.12500000000000003,0.1111111111111111,0.05572809000084125,1.7527152789797045,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14,14,1,0.23333333333333334,0.26666666666666666,5.0,0.09090909090909091,0.5294117647058824,2.566666666666667,8.91891891891892,1.0,0.8763576394898522,0.7360679833409676,0.18333333333333332,1.2,0.5155555555555555
U0003,4,5,40.0,11.313708498984761,24.0,48.0,0.2828427054035514,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,-0.5590375815769151,0.9182958340544896,3,11,132.0,60.0,72.0,192.0,0.4545454511019284,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.375,1.0,31,31,1,0.5166666666666667,0.8333333333333335,1.0,0.6,0.0967741935483871,3.616666666666667,4.615384615384616,1.0,0.9591479170272448,0.7335093983563964,0.11666666666666667,0.875,0.6066666666666667
U0004,5,5,30.0,39.344631145812,0.0,96.0,1.3114876611441446,0.0,0.0,0.8,0.0,0.0,-24.0,0.0,0.0,0.13475637538777738,1.5,2,7,168.0,0.0,168.0,168.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,19,19,1,0.31666666666666665,0.4333333333333333,1.6666666666666667,0.3333333333333333,0.14814814814814814,2.216666666666667,5.3164556962025316,1.0,0.75,0.7163109102440586,0.11666666666666667,1.5,0.5266666666666667
U0005,7,10,40.0,40.792156108742276,0.0,120.0,1.01980387722346,0.0,0.0,0.2857142857142857,0.0,0.0,14.4,0.7233642332556182,0.16666666666666666,0.009804864072151745,1.9182958340544893,3,25,300.0,36.0,264.0,336.0,0.1199999996,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.7857142857142857,1.0,33,33,1,0.55,0.9000000000000001,1.75,0.375,0.04109589041095891,5.5,6.451612903225806,1.0,1.4591479170272446,0.6939773586946718,0.16666666666666669,0.8571428571428572,0.6533333333333334
U0006,6,7,33.6,19.200000000000003,24.0,72.0,0.5714285544217693,0.0,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.2,-0.2727272727272727,0.7219280948873623,2,31,744.0,0.0,744.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8,8,1,0.13333333333333333,0.06666666666666665,2.0,0.2857142857142857,0.032679738562091505,1.0666666666666667,7.0588235294117645,1.0,0.36096404744368116,0.8181818216253443,0.13333333333333333,0.8500000000000001,0.4933333333333334
U0007,8,6,20.571428571428573,15.333037559998559,0.0,48.0,0.7453559562673486,0.0,0.0,0.25,0.0,0.0,-4.0,0.0,0.14285714285714285,-0.14589803375031543,1.3787834934861753,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,33,33,1,0.55,0.9000000000000001,8.0,0.0,0.5384615384615384,4.4,5.161290322580645,1.0,0.6893917467430877,0.7864745143846241,0.13333333333333333,0.875,0.6485714285714287
U0008,9,6,18.0,15.874507866387544,0.0,48.0,0.8819170546928049,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.12499999999999997,0.0,-0.06274606680622824,1.4056390622295665,3,46,552.0,456.0,96.0,1008.0,0.8260869550252048,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,0.0,-0.09523809523809523,1.0,24,24,1,0.4,0.6000000000000001,2.25,0.3,0.021621621621621623,4.800000000000001,8.571428571428571,1.0,1.2028195311147831,0.5394960476525796,0.2,1.0444444444444445,0.56
U0009,3,2,24.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0,5,53,318.0,103.7496987947435,192.0,432.0,0.3262569134229138,0.0,0.0,0.2,0.0,0.0,56.0,0,0.0,-0.5080034480582464,1.0,33,33,1,0.55,0.9000000000000001,0.5,1.25,0.018867924528301886,4.4,5.161290322580645,1.0,0.5,0.8770008623062017,0.13333333333333333,0.9,0.6200000000000001
U0010,8,8,27.428571428571427,23.753839646658886,0.0,72.0,0.8660253722105968,0.0,0.0,0.375,0.0,0.0,8.0,0.26514390667749954,0.0,-0.07179676972449091,1.8423709931771088,3,40,480.0,384.0,96.0,864.0,0.7999999983333334,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,0.0,-0.1111111111111111,1.0,42,42,1,0.7,1.0,2.0,0.3333333333333333,0.025089605734767026,7.699999999999999,6.470588235294118,1.0,1.4211854965885544,0.5457269749999019,0.18333333333333335,0.9541666666666666,0.6799999999999999
U0011,8,8,27.428571428571427,15.333037559998559,0.0,48.0,0.5590169739941203,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.14285714285714285,-0.28285965272742575,1.3787834934861753,4,44,352.0,356.15726863283305,0.0,840.0,1.0118104193779052,0.0,0.0,0.0,0.0,0.0,108.0,0,0.0,0.00587054432253309,0.9182958340544896,30,30,1,0.5,0.8,1.6,0.4444444444444444,0.022801302931596094,6.0,8.0,1.0,1.1485396637703325,0.5692472816489891,0.2,0.875,0.6285714285714287
U0012,6,6,28.8,9.600000000000001,24.0,48.0,0.33333332175925967,0.0,0.0,0.3333333333333333,0.0,0.0,-6.0,0.0,0.2,-0.5,0.7219280948873623,4,40,320.0,45.254833995939045,288.0,384.0,0.14142135579536777,0.0,0.0,0.5,0.0,0.0,48.0,0,0.0,-0.7522013138014091,0.9182958340544896,38,38,1,0.6333333333333333,1.0,1.2,0.5714285714285714,0.02512562814070352,6.333333333333333,6.122448979591836,1.0,0.8201119644709259,0.8130503318751672,0.16666666666666669,1.0166666666666666,0.6933333333333334
U0013,6,4,19.2,17.95995545651492,0.0,48.0,0.9354142979739907,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.8181818181818182,0.0,-0.03337045290423446,1.5219280948873621,3,25,300.0,108.0,192.0,408.0,0.3599999988,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,0.0,-0.47058823529411764,1.0,47,47,1,0.7833333333333333,1.0,1.5,0.42857142857142855,0.03968253968253968,7.05,5.046728971962617,1.0,1.260964047443681,0.6259896788771491,0.15000000000000002,0.8500000000000001,0.7133333333333334
U0014,4,6,48.0,33.94112549695428,24.0,96.0,0.7071067664551566,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.1715728752538099,0.9182958340544896,4,52,416.0,486.4894654563447,72.0,1104.0,1.1694458276127377,0.0,0.0,0.0,0.0,0.0,-516.0,0,0.0,0.07810558256289633,0.9182958340544896,29,29,1,0.48333333333333334,0.7666666666666666,0.8,0.8,0.0196078431372549,3.8666666666666667,5.393258426966292,1.0,0.9182958340544896,0.5233668259988832,0.13333333333333333,0.8500000000000001,0.5933333333333334
U0015,6,6,28.8,27.988569095257443,0.0,72.0,0.9718252820636166,0.0,0.0,0.16666666666666666,0.0,0.0,6.0,0.3142696805273545,0.0,-0.014288630928197142,1.9219280948873623,5,44,264.0,215.33230133911633,24.0,600.0,0.8156526534979684,0.0,0.0,0.4,0.0,0.0,40.0,0,0.0,-0.10153227421753164,1.5,15,15,1,0.25,0.3,1.0,0.7142857142857143,0.022831050228310504,2.75,8.8,1.0,1.7109640474436811,0.5289552310944275,0.18333333333333335,0.8833333333333333,0.5
U0016,8,10,34.285714285714285,38.17895563083444,0.0,120.0,1.11355284008738,0.0,0.0,0.0,0.0,0.0,4.0,0.36628061740041584,0.14285714285714285,0.05372606194996346,1.8423709931771088,2,16,384.0,0.0,384.0,384.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,29,29,1,0.48333333333333334,0.7666666666666666,2.6666666666666665,0.2222222222222222,0.06422018348623854,4.833333333333333,6.741573033707865,1.0,0.9211854965885544,0.7365684881478187,0.16666666666666666,0.8500000000000001,0.621904761904762
U0017,4,1,8.0,11.313708498984761,0.0,24.0,1.414213385596422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1715728752538099,0.9182958340544896,4,47,376.0,130.47605144240072,192.0,480.0,0.34701077418986687,0.0,0.0,0.0,0.0,0.0,-12.0,0,0.0,-0.4847691176283024,0.9182958340544896,37,37,1,0.6166666666666667,1.0,0.8,0.8,0.02097902097902098,4.933333333333334,4.948453608247423,1.0,0.9182958340544896,0.5782990760129867,0.13333333333333333,1.0,0.6466666666666667
U0018,7,5,20.0,16.492422502470642,0.0,48.0,0.8246210838924779,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0714285714285715,0.0,-0.09611796797792431,1.4591479170272448,5,44,264.0,264.5448922205832,48.0,696.0,1.0020639818883306,0.0,0.0,0.2,0.0,0.0,72.0,0,0.0,0.0010309289307365791,1.5,39,39,1,0.65,1.0,1.1666666666666667,0.625,0.022641509433962266,7.800000000000001,7.272727272727273,1.0,1.4795739585136225,0.5237717664275395,0.2,0.8285714285714286,0.66
U0019,3,2,24.0,24.0,0.0,48.0,0.999999958333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,14,168.0,168.0,0.0,336.0,0.9999999940476191,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,11,11,1,0.18333333333333332,0.16666666666666663,0.75,0.75,0.07142857142857142,1.0999999999999999,5.070422535211268,1.0,1.0,0.5000000059523808,0.1,1.0,0.4733333333333334
U0020,7,6,24.0,19.595917942265423,0.0,48.0,0.8164965469070364,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.7857142857142858,0.0,-0.1010205144336438,1.584962500721156,2,10,240.0,0.0,240.0,240.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,45,45,1,0.75,1.0,2.3333333333333335,0.25,0.1,6.75,5.142857142857143,1.0,0.792481250360578,0.7752551337635925,0.15,0.9214285714285715,0.7000000000000001
U0021,9,9,27.0,22.24859546128699,0.0,72.0,0.8240220236024061,0.0,0.0,0.3333333333333333,0.0,0.0,3.4285714285714284,0.4677071733467427,0.125,-0.09647797047223335,1.75,3,53,636.0,276.0,360.0,912.0,0.4339622634686128,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,0.0,-0.39473684210526316,1.0,24,24,1,0.4,0.6000000000000001,2.25,0.3,0.018912529550827423,4.800000000000001,8.571428571428571,1.0,1.375,0.6228037078968275,0.2,0.9333333333333333,0.5850000000000001
U0022,4,8,64.0,22.627416997969522,48.0,96.0,0.35355338506900214,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,-0.47759225007251704,0.9182958340544896,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,33,33,1,0.55,0.9000000000000001,2.0,0.2,0.27272727272727276,2.75,3.225806451612903,1.0,0.4591479170272448,0.8693980640257575,0.08333333333333333,1.0,0.6200000000000001
U0023,6,11,52.8,35.272652296077766,24.0,96.0,0.6680426444703622,0.0,0.0,0.16666666666666666,0.0,0.0,-18.0,0.5773502691896257,0.0,-0.19901010412403347,0.9709505944546686,3,26,312.0,216.0,96.0,528.0,0.6923076900887574,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0,0.0,-0.18181818181818182,1.0,20,20,1,0.3333333333333333,0.4666666666666666,1.5,0.42857142857142855,0.04032258064516129,3.0,6.75,1.0,0.9854752972273343,0.5952070741466129,0.15000000000000002,0.8500000000000001,0.5333333333333333
U0024,10,6,16.0,16.0,0.0,48.0,0.9999999375000038,0.0,0.0,0.2,0.0,0.0,3.0,0.7467286566323438,0.0,0.0,1.3921472236645345,5,60,360.0,260.1538006641456,144.0,792.0,0.7226494442819338,0.0,0.0,0.0,0.0,0.0,152.0,0,0.0,-0.1610023178587722,1.5,38,38,1,0.6333333333333333,1.0,1.6666666666666667,0.45454545454545453,0.016574585635359115,9.5,9.183673469387756,1.0,1.4460736118322672,0.5402505876154144,0.25,0.9,0.6533333333333333
U0025,10,7,18.666666666666668,18.856180831641268,0.0,48.0,1.0101524904368986,0.0,0.0,0.1,0.0,0.0,0.0,0.0909090909090909,0.0,0.005050633883346548,1.5304930567574824,2,50,1200.0,0.0,1200.0,1200.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,40,40,1,0.6666666666666666,1.0,3.3333333333333335,0.18181818181818182,0.01991150442477876,8.0,7.200000000000001,1.0,0.7652465283787412,0.7487373482254209,0.19999999999999998,0.9,0.6666666666666667
U0026,7,6,24.0,19.595917942265423,0.0,48.0,0.8164965469070364,0.0,0.0,0.42857142857142855,0.0,0.0,4.8,0.5976143046671968,0.0,-0.1010205144336438,1.584962500721156,2,8,192.0,0.0,192.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,50,50,1,0.8333333333333334,1.0,2.3333333333333335,0.25,0.125,7.5,4.909090909090908,1.0,0.792481250360578,0.7752551337635925,0.15,0.8142857142857143,0.7333333333333334
U0027,4,6,48.0,33.94112549695428,24.0,96.0,0.7071067664551566,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.1715728752538099,0.9182958340544896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7,7,1,0.11666666666666667,0.033333333333333326,4.0,0.0,0.3333333333333333,0.4666666666666667,3.582089552238806,1.0,0.4591479170272448,0.7928932213409596,0.06666666666666667,0.8500000000000001,0.4466666666666667
U0028,9,7,21.0,25.278449319529077,0.0,72.0,1.2037356245615929,0.0,0.0,0.3333333333333333,0.0,0.0,6.857142857142857,0.3891558912470781,0.0,0.09245014434231723,1.75,4,16,128.0,130.47605144240072,24.0,312.0,1.0193441439301294,0.0,0.0,0.25,0.0,0.0,144.0,0,0.0,0.009579423039710464,0.9182958340544896,42,42,1,0.7,1.0,1.8,0.4,0.06201550387596899,9.1,7.647058823529412,1.0,1.3341479170272448,0.47449261503247164,0.21666666666666667,0.8916666666666666,0.6799999999999999
U0029,9,7,21.0,32.72613634390714,0.0,96.0,1.5583873707390368,0.0,0.0,0.4444444444444444,0.0,0.0,-13.714285714285714,0.13867504905630731,0.125,0.21825757707285715,1.5487949406953985,5,35,210.0,203.91174561559714,24.0,552.0,0.9710083078313754,0.0,0.0,0.0,0.0,0.0,128.0,0,0.25,-0.014709064067143106,1.5,19,19,1,0.31666666666666665,0.4333333333333333,1.5,0.5,0.028469750889679714,4.433333333333334,10.632911392405063,1.0,1.5243974703476992,0.4491128780125119,0.23333333333333334,0.8222222222222222,0.5516666666666667
U0030,8,2,6.857142857142857,10.842094834863016,0.0,24.0,1.5811385995014773,0.0,0.0,0.0,0.0,0.0,4.0,0.316227766016838,0.0,0.22514822655441377,0.863120568566631,5,55,330.0,212.21687020592873,96.0,576.0,0.6430814229177191,0.0,0.0,0.2,0.0,0.0,120.0,0,0.0,-0.21722512940133784,1.0,25,25,1,0.4166666666666667,0.6333333333333333,1.3333333333333333,0.5555555555555556,0.017948717948717947,5.416666666666667,9.176470588235293,1.0,0.9315602842833155,0.49801924337774295,0.21666666666666667,0.9,0.5666666666666667
U0031,8,8,27.428571428571427,15.333037559998559,0.0,48.0,0.5590169739941203,0.0,0.0,0.25,0.0,0.0,0.0,0.41176470588235287,0.14285714285714285,-0.28285965272742564,1.3787834934861753,5,38,228.0,163.21764610482532,0.0,456.0,0.7158668657410459,0.0,0.0,0.2,0.0,0.0,-88.0,0,0.0,-0.16559159470484744,2.0,42,42,1,0.7,1.0,1.3333333333333333,0.5555555555555556,0.026415094339622643,9.1,7.647058823529412,1.0,1.6893917467430877,0.6121128165839453,0.21666666666666667,0.8250000000000001,0.7085714285714285
